Generation,Candidate,Fitness
0,"7,4,2","0.7636000000000001,308.61328125"
0,"4,3,5","0.06479999999999997,234.912109375"
0,"2,7,2","0.7968,538.59375"
0,"1,2,7","0.6696,160.224609375"
0,"1,1,5","0.8992,81.591796875"
0,"6,3,5","0.06000000000000005,234.912109375"
0,"4,6,4","0.07479999999999998,463.90625"
0,"1,1,3","0.8992,79.619140625"
0,"4,1,1","0.8992,77.646484375"
0,"2,3,4","0.15080000000000005,233.92578125"
0,"5,4,4","0.06240000000000001,310.5859375"
0,"7,7,6","0.03480000000000005,542.5390625"
0,"2,7,6","0.06499999999999995,542.5390625"
0,"5,5,7","0.036599999999999966,390.205078125"
0,"7,4,6","0.03739999999999999,312.55859375"
0,"1,6,1","0.8992,460.947265625"
0,"6,3,4","0.0716,233.92578125"
0,"3,4,3","0.19579999999999997,309.599609375"
0,"4,7,2","0.7812,538.59375"
0,"3,6,5","0.07999999999999996,464.892578125"
0,"1,7,6","0.07299999999999995,542.5390625"
0,"1,6,7","0.0706,466.865234375"
0,"2,3,7","0.08579999999999999,236.884765625"
0,"2,4,4","0.12880000000000003,310.5859375"
0,"6,1,1","0.8992,77.646484375"
0,"2,1,1","0.8992,77.646484375"
0,"2,7,6","0.06499999999999995,542.5390625"
0,"5,2,2","0.8926000000000001,155.29296875"
0,"2,3,2","0.7972,231.953125"
0,"6,6,6","0.034599999999999964,465.87890625"
0,"4,5,2","0.7827999999999999,385.2734375"
0,"6,2,5","0.615,158.251953125"
0,"4,7,4","0.07479999999999998,540.56640625"
0,"2,6,2","0.795,461.93359375"
0,"7,2,5","0.6158,158.251953125"
0,"1,6,5","0.08879999999999999,464.892578125"
0,"6,1,4","0.8992,80.60546875"
0,"1,5,1","0.8992,384.287109375"
0,"3,4,3","0.19579999999999997,309.599609375"
0,"1,4,6","0.08540000000000003,312.55859375"
0,"2,2,1","0.8992,154.306640625"
0,"5,7,1","0.8992,537.607421875"
0,"6,7,3","0.08740000000000003,539.580078125"
0,"4,4,7","0.04159999999999997,313.544921875"
0,"3,2,3","0.8280000000000001,156.279296875"
0,"7,2,6","0.6036,159.23828125"
0,"5,4,1","0.8992,307.626953125"
0,"4,1,2","0.8992,78.6328125"
0,"2,3,7","0.08579999999999999,236.884765625"
0,"4,6,4","0.07479999999999998,463.90625"
1,"6,3,5","0.06000000000000005,234.912109375"
1,"4,1,1","0.8992,77.646484375"
1,"5,5,7","0.036599999999999966,390.205078125"
1,"7,4,6","0.03739999999999999,312.55859375"
1,"6,1,1","0.8992,77.646484375"
1,"2,1,1","0.8992,77.646484375"
1,"5,2,2","0.8926000000000001,155.29296875"
1,"6,6,6","0.034599999999999964,465.87890625"
1,"6,2,5","0.615,158.251953125"
1,"7,2,6","0.6036,159.23828125"
1,"6,3,6","0.05279999999999996,235.8984375"
1,"4,2,3","0.7678,156.279296875"
1,"6,3,3","0.13959999999999995,232.939453125"
1,"3,1,1","0.8992,77.646484375"
1,"5,4,5","0.03979999999999995,311.572265625"
1,"5,2,4","0.6402,157.265625"
1,"6,2,5","0.615,158.251953125"
1,"6,2,5","0.615,158.251953125"
1,"6,2,5","0.615,158.251953125"
1,"3,1,1","0.8992,77.646484375"
1,"5,3,4","0.06999999999999995,233.92578125"
1,"5,3,4","0.06999999999999995,233.92578125"
1,"7,7,6","0.03480000000000005,542.5390625"
1,"6,3,4","0.0716,233.92578125"
1,"7,2,5","0.6158,158.251953125"
1,"4,4,7","0.04159999999999997,313.544921875"
1,"3,2,3","0.8280000000000001,156.279296875"
1,"4,1,2","0.8992,78.6328125"
1,"4,2,4","0.6978,157.265625"
1,"4,2,4","0.6978,157.265625"
1,"4,4,5","0.045599999999999974,311.572265625"
1,"4,1,2","0.8992,78.6328125"
1,"7,3,5","0.06020000000000003,234.912109375"
1,"7,2,5","0.6158,158.251953125"
1,"7,2,5","0.6158,158.251953125"
1,"5,1,2","0.8992,78.6328125"
1,"4,1,2","0.8992,78.6328125"
1,"6,4,4","0.058599999999999985,310.5859375"
1,"4,4,5","0.045599999999999974,311.572265625"
1,"6,3,4","0.0716,233.92578125"
1,"1,1,3","0.8992,79.619140625"
1,"8,4,4","0.059799999999999964,310.5859375"
1,"1,1,3","0.8992,79.619140625"
1,"2,2,4","0.7385999999999999,157.265625"
1,"1,2,7","0.6696,160.224609375"
1,"4,3,5","0.06479999999999997,234.912109375"
1,"2,3,4","0.15080000000000005,233.92578125"
1,"1,2,5","0.6776,158.251953125"
1,"2,3,4","0.15080000000000005,233.92578125"
1,"4,3,5","0.06479999999999997,234.912109375"
2,"4,1,1","0.8992,77.646484375"
2,"5,5,7","0.036599999999999966,390.205078125"
2,"6,1,1","0.8992,77.646484375"
2,"2,1,1","0.8992,77.646484375"
2,"5,2,2","0.8926000000000001,155.29296875"
2,"6,6,6","0.034599999999999964,465.87890625"
2,"6,2,5","0.615,158.251953125"
2,"7,2,6","0.6036,159.23828125"
2,"6,3,6","0.05279999999999996,235.8984375"
2,"3,1,1","0.8992,77.646484375"
2,"5,4,5","0.03979999999999995,311.572265625"
2,"5,2,4","0.6402,157.265625"
2,"6,2,5","0.615,158.251953125"
2,"6,2,5","0.615,158.251953125"
2,"6,2,5","0.615,158.251953125"
2,"3,1,1","0.8992,77.646484375"
2,"3,1,1","0.8992,77.646484375"
2,"5,3,3","0.1382,232.939453125"
2,"6,2,3","0.6814,156.279296875"
2,"6,1,1","0.8992,77.646484375"
2,"6,2,5","0.615,158.251953125"
2,"6,2,7","0.598,160.224609375"
2,"4,1,1","0.8992,77.646484375"
2,"6,1,1","0.8992,77.646484375"
2,"4,1,1","0.8992,77.646484375"
2,"2,1,1","0.8992,77.646484375"
2,"2,1,1","0.8992,77.646484375"
2,"5,2,4","0.6402,157.265625"
2,"3,1,1","0.8992,77.646484375"
2,"1,1,1","0.8992,77.646484375"
2,"8,3,5","0.059799999999999964,234.912109375"
2,"5,5,6","0.036800000000000055,389.21875"
2,"6,1,1","0.8992,77.646484375"
2,"6,4,6","0.03720000000000001,312.55859375"
2,"8,3,4","0.06979999999999997,233.92578125"
2,"6,2,3","0.6814,156.279296875"
2,"4,1,1","0.8992,77.646484375"
2,"7,7,6","0.03480000000000005,542.5390625"
2,"4,1,2","0.8992,78.6328125"
2,"4,1,2","0.8992,78.6328125"
2,"7,4,6","0.03739999999999999,312.55859375"
2,"7,2,2","0.8928,155.29296875"
2,"7,3,6","0.05359999999999998,235.8984375"
2,"7,4,5","0.04079999999999995,311.572265625"
2,"7,2,5","0.6158,158.251953125"
2,"6,3,3","0.13959999999999995,232.939453125"
2,"4,2,3","0.7678,156.279296875"
2,"7,2,5","0.6158,158.251953125"
2,"6,3,3","0.13959999999999995,232.939453125"
2,"4,2,4","0.6978,157.265625"
3,"4,1,1","0.8992,77.646484375"
3,"6,1,1","0.8992,77.646484375"
3,"2,1,1","0.8992,77.646484375"
3,"5,2,2","0.8926000000000001,155.29296875"
3,"6,6,6","0.034599999999999964,465.87890625"
3,"6,2,5","0.615,158.251953125"
3,"7,2,6","0.6036,159.23828125"
3,"6,3,6","0.05279999999999996,235.8984375"
3,"3,1,1","0.8992,77.646484375"
3,"5,4,5","0.03979999999999995,311.572265625"
3,"5,2,4","0.6402,157.265625"
3,"6,2,5","0.615,158.251953125"
3,"6,2,5","0.615,158.251953125"
3,"6,2,5","0.615,158.251953125"
3,"3,1,1","0.8992,77.646484375"
3,"3,1,1","0.8992,77.646484375"
3,"5,3,3","0.1382,232.939453125"
3,"6,2,3","0.6814,156.279296875"
3,"6,1,1","0.8992,77.646484375"
3,"6,2,5","0.615,158.251953125"
3,"4,1,1","0.8992,77.646484375"
3,"6,1,1","0.8992,77.646484375"
3,"4,1,1","0.8992,77.646484375"
3,"2,1,1","0.8992,77.646484375"
3,"2,1,1","0.8992,77.646484375"
3,"5,2,4","0.6402,157.265625"
3,"3,1,1","0.8992,77.646484375"
3,"1,1,1","0.8992,77.646484375"
3,"8,3,5","0.059799999999999964,234.912109375"
3,"6,1,1","0.8992,77.646484375"
3,"6,4,6","0.03720000000000001,312.55859375"
3,"8,3,4","0.06979999999999997,233.92578125"
3,"6,2,3","0.6814,156.279296875"
3,"4,1,1","0.8992,77.646484375"
3,"6,1,1","0.8992,77.646484375"
3,"5,1,1","0.8992,77.646484375"
3,"6,1,1","0.8992,77.646484375"
3,"4,1,1","0.8992,77.646484375"
3,"7,5,6","0.035800000000000054,389.21875"
3,"7,1,1","0.8992,77.646484375"
3,"6,1,1","0.8992,77.646484375"
3,"3,1,1","0.8992,77.646484375"
3,"4,1,1","0.8992,77.646484375"
3,"2,1,1","0.8992,77.646484375"
3,"5,2,7","0.5936,160.224609375"
3,"3,1,1","0.8992,77.646484375"
3,"6,2,3","0.6814,156.279296875"
3,"6,1,1","0.8992,77.646484375"
3,"5,1,1","0.8992,77.646484375"
3,"6,2,5","0.615,158.251953125"
4,"4,1,1","0.8992,77.646484375"
4,"6,6,6","0.034599999999999964,465.87890625"
4,"3,1,1","0.8992,77.646484375"
4,"7,5,6","0.035800000000000054,389.21875"
4,"5,2,2","0.8926000000000001,155.29296875"
4,"6,3,6","0.05279999999999996,235.8984375"
4,"5,4,5","0.03979999999999995,311.572265625"
4,"6,4,6","0.03720000000000001,312.55859375"
4,"7,3,3","0.13780000000000003,232.939453125"
4,"5,2,7","0.5936,160.224609375"
4,"8,3,4","0.06979999999999997,233.92578125"
4,"7,2,6","0.6036,159.23828125"
4,"8,3,5","0.059799999999999964,234.912109375"
4,"6,2,3","0.6814,156.279296875"
4,"6,2,3","0.6814,156.279296875"
4,"5,2,4","0.6402,157.265625"
4,"5,2,4","0.6402,157.265625"
4,"6,2,5","0.615,158.251953125"
4,"6,2,5","0.615,158.251953125"
4,"6,4,6","0.03720000000000001,312.55859375"
4,"6,1,1","0.8992,77.646484375"
4,"2,1,1","0.8992,77.646484375"
4,"3,1,1","0.8992,77.646484375"
4,"6,2,5","0.615,158.251953125"
4,"6,2,5","0.615,158.251953125"
4,"6,2,5","0.615,158.251953125"
4,"3,1,1","0.8992,77.646484375"
4,"3,1,1","0.8992,77.646484375"
4,"6,1,1","0.8992,77.646484375"
4,"6,2,5","0.615,158.251953125"
4,"4,1,1","0.8992,77.646484375"
4,"6,1,1","0.8992,77.646484375"
4,"4,1,1","0.8992,77.646484375"
4,"2,1,1","0.8992,77.646484375"
4,"2,1,1","0.8992,77.646484375"
4,"3,1,1","0.8992,77.646484375"
4,"1,1,1","0.8992,77.646484375"
4,"6,1,1","0.8992,77.646484375"
4,"6,2,3","0.6814,156.279296875"
4,"4,1,1","0.8992,77.646484375"
4,"6,1,1","0.8992,77.646484375"
4,"5,1,1","0.8992,77.646484375"
4,"6,1,1","0.8992,77.646484375"
4,"4,1,1","0.8992,77.646484375"
4,"7,1,1","0.8992,77.646484375"
4,"6,1,1","0.8992,77.646484375"
4,"3,1,1","0.8992,77.646484375"
4,"4,1,1","0.8992,77.646484375"
4,"2,1,1","0.8992,77.646484375"
4,"3,1,1","0.8992,77.646484375"
5,"4,1,1","0.8992,77.646484375"
5,"6,6,6","0.034599999999999964,465.87890625"
5,"3,1,1","0.8992,77.646484375"
5,"5,2,2","0.8926000000000001,155.29296875"
5,"6,3,6","0.05279999999999996,235.8984375"
5,"5,4,5","0.03979999999999995,311.572265625"
5,"6,4,6","0.03720000000000001,312.55859375"
5,"8,5,8","0.03520000000000001,391.19140625"
5,"7,5,6","0.035800000000000054,389.21875"
5,"7,3,3","0.13780000000000003,232.939453125"
5,"5,2,7","0.5936,160.224609375"
5,"5,2,3","0.6739999999999999,156.279296875"
5,"8,3,4","0.06979999999999997,233.92578125"
5,"5,2,5","0.6122000000000001,158.251953125"
5,"7,5,6","0.035800000000000054,389.21875"
5,"5,2,4","0.6402,157.265625"
5,"5,2,4","0.6402,157.265625"
5,"7,2,6","0.6036,159.23828125"
5,"8,3,5","0.059799999999999964,234.912109375"
5,"7,2,6","0.6036,159.23828125"
5,"8,3,5","0.059799999999999964,234.912109375"
5,"5,2,2","0.8926000000000001,155.29296875"
5,"6,4,6","0.03720000000000001,312.55859375"
5,"3,1,1","0.8992,77.646484375"
5,"5,2,4","0.6402,157.265625"
5,"6,1,1","0.8992,77.646484375"
5,"2,1,1","0.8992,77.646484375"
5,"3,1,1","0.8992,77.646484375"
5,"3,1,1","0.8992,77.646484375"
5,"3,1,1","0.8992,77.646484375"
5,"6,1,1","0.8992,77.646484375"
5,"4,1,1","0.8992,77.646484375"
5,"6,1,1","0.8992,77.646484375"
5,"4,1,1","0.8992,77.646484375"
5,"2,1,1","0.8992,77.646484375"
5,"2,1,1","0.8992,77.646484375"
5,"3,1,1","0.8992,77.646484375"
5,"1,1,1","0.8992,77.646484375"
5,"6,1,1","0.8992,77.646484375"
5,"4,1,1","0.8992,77.646484375"
5,"6,1,1","0.8992,77.646484375"
5,"5,1,1","0.8992,77.646484375"
5,"6,1,1","0.8992,77.646484375"
5,"4,1,1","0.8992,77.646484375"
5,"7,1,1","0.8992,77.646484375"
5,"6,1,1","0.8992,77.646484375"
5,"3,1,1","0.8992,77.646484375"
5,"4,1,1","0.8992,77.646484375"
5,"2,1,1","0.8992,77.646484375"
5,"3,1,1","0.8992,77.646484375"
6,"4,1,1","0.8992,77.646484375"
6,"5,6,6","0.03420000000000001,465.87890625"
6,"2,1,1","0.8992,77.646484375"
6,"5,2,2","0.8926000000000001,155.29296875"
6,"6,3,6","0.05279999999999996,235.8984375"
6,"5,4,5","0.03979999999999995,311.572265625"
6,"6,4,6","0.03720000000000001,312.55859375"
6,"8,5,8","0.03520000000000001,391.19140625"
6,"7,5,6","0.035800000000000054,389.21875"
6,"7,3,3","0.13780000000000003,232.939453125"
6,"5,2,7","0.5936,160.224609375"
6,"5,2,3","0.6739999999999999,156.279296875"
6,"8,3,4","0.06979999999999997,233.92578125"
6,"5,2,5","0.6122000000000001,158.251953125"
6,"7,5,6","0.035800000000000054,389.21875"
6,"5,2,4","0.6402,157.265625"
6,"5,2,4","0.6402,157.265625"
6,"7,2,6","0.6036,159.23828125"
6,"8,3,5","0.059799999999999964,234.912109375"
6,"7,2,6","0.6036,159.23828125"
6,"8,3,5","0.059799999999999964,234.912109375"
6,"5,2,2","0.8926000000000001,155.29296875"
6,"6,4,6","0.03720000000000001,312.55859375"
6,"3,1,1","0.8992,77.646484375"
6,"5,2,4","0.6402,157.265625"
6,"3,1,1","0.8992,77.646484375"
6,"6,1,1","0.8992,77.646484375"
6,"2,1,1","0.8992,77.646484375"
6,"3,1,1","0.8992,77.646484375"
6,"3,1,1","0.8992,77.646484375"
6,"3,1,1","0.8992,77.646484375"
6,"6,1,1","0.8992,77.646484375"
6,"4,1,1","0.8992,77.646484375"
6,"6,1,1","0.8992,77.646484375"
6,"4,1,1","0.8992,77.646484375"
6,"2,1,1","0.8992,77.646484375"
6,"2,1,1","0.8992,77.646484375"
6,"3,1,1","0.8992,77.646484375"
6,"1,1,1","0.8992,77.646484375"
6,"6,1,1","0.8992,77.646484375"
6,"4,1,1","0.8992,77.646484375"
6,"6,1,1","0.8992,77.646484375"
6,"5,1,1","0.8992,77.646484375"
6,"6,1,1","0.8992,77.646484375"
6,"4,1,1","0.8992,77.646484375"
6,"7,1,1","0.8992,77.646484375"
6,"6,1,1","0.8992,77.646484375"
6,"3,1,1","0.8992,77.646484375"
6,"4,1,1","0.8992,77.646484375"
6,"2,1,1","0.8992,77.646484375"
7,"4,1,1","0.8992,77.646484375"
7,"5,6,6","0.03420000000000001,465.87890625"
7,"6,1,1","0.8992,77.646484375"
7,"5,2,2","0.8926000000000001,155.29296875"
7,"6,3,6","0.05279999999999996,235.8984375"
7,"5,4,5","0.03979999999999995,311.572265625"
7,"6,4,6","0.03720000000000001,312.55859375"
7,"8,5,8","0.03520000000000001,391.19140625"
7,"7,5,6","0.035800000000000054,389.21875"
7,"7,3,3","0.13780000000000003,232.939453125"
7,"5,2,7","0.5936,160.224609375"
7,"5,2,3","0.6739999999999999,156.279296875"
7,"8,3,4","0.06979999999999997,233.92578125"
7,"5,2,5","0.6122000000000001,158.251953125"
7,"7,5,6","0.035800000000000054,389.21875"
7,"5,2,4","0.6402,157.265625"
7,"5,2,4","0.6402,157.265625"
7,"7,2,6","0.6036,159.23828125"
7,"8,3,5","0.059799999999999964,234.912109375"
7,"7,2,6","0.6036,159.23828125"
7,"8,3,5","0.059799999999999964,234.912109375"
7,"5,2,2","0.8926000000000001,155.29296875"
7,"6,4,6","0.03720000000000001,312.55859375"
7,"2,1,1","0.8992,77.646484375"
7,"7,5,6","0.035800000000000054,389.21875"
7,"5,2,4","0.6402,157.265625"
7,"6,4,6","0.03720000000000001,312.55859375"
7,"3,1,1","0.8992,77.646484375"
7,"3,1,1","0.8992,77.646484375"
7,"6,1,1","0.8992,77.646484375"
7,"2,1,1","0.8992,77.646484375"
7,"3,1,1","0.8992,77.646484375"
7,"3,1,1","0.8992,77.646484375"
7,"3,1,1","0.8992,77.646484375"
7,"6,1,1","0.8992,77.646484375"
7,"4,1,1","0.8992,77.646484375"
7,"6,1,1","0.8992,77.646484375"
7,"4,1,1","0.8992,77.646484375"
7,"2,1,1","0.8992,77.646484375"
7,"2,1,1","0.8992,77.646484375"
7,"3,1,1","0.8992,77.646484375"
7,"1,1,1","0.8992,77.646484375"
7,"6,1,1","0.8992,77.646484375"
7,"4,1,1","0.8992,77.646484375"
7,"6,1,1","0.8992,77.646484375"
7,"5,1,1","0.8992,77.646484375"
7,"6,1,1","0.8992,77.646484375"
7,"4,1,1","0.8992,77.646484375"
7,"7,1,1","0.8992,77.646484375"
7,"6,1,1","0.8992,77.646484375"
8,"4,1,1","0.8992,77.646484375"
8,"5,6,6","0.03420000000000001,465.87890625"
8,"5,6,6","0.03420000000000001,465.87890625"
8,"4,1,1","0.8992,77.646484375"
8,"5,2,2","0.8926000000000001,155.29296875"
8,"6,3,6","0.05279999999999996,235.8984375"
8,"6,4,6","0.03720000000000001,312.55859375"
8,"8,5,8","0.03520000000000001,391.19140625"
8,"7,5,6","0.035800000000000054,389.21875"
8,"5,4,5","0.03979999999999995,311.572265625"
8,"7,3,3","0.13780000000000003,232.939453125"
8,"5,2,7","0.5936,160.224609375"
8,"5,2,3","0.6739999999999999,156.279296875"
8,"8,3,4","0.06979999999999997,233.92578125"
8,"5,2,5","0.6122000000000001,158.251953125"
8,"6,2,6","0.6018,159.23828125"
8,"7,5,6","0.035800000000000054,389.21875"
8,"5,2,4","0.6402,157.265625"
8,"5,2,4","0.6402,157.265625"
8,"5,4,5","0.03979999999999995,311.572265625"
8,"8,3,5","0.059799999999999964,234.912109375"
8,"8,3,5","0.059799999999999964,234.912109375"
8,"5,2,2","0.8926000000000001,155.29296875"
8,"6,4,6","0.03720000000000001,312.55859375"
8,"6,1,1","0.8992,77.646484375"
8,"7,5,6","0.035800000000000054,389.21875"
8,"5,2,4","0.6402,157.265625"
8,"6,4,6","0.03720000000000001,312.55859375"
8,"2,1,1","0.8992,77.646484375"
8,"7,5,6","0.035800000000000054,389.21875"
8,"3,1,1","0.8992,77.646484375"
8,"3,1,1","0.8992,77.646484375"
8,"6,1,1","0.8992,77.646484375"
8,"2,1,1","0.8992,77.646484375"
8,"3,1,1","0.8992,77.646484375"
8,"3,1,1","0.8992,77.646484375"
8,"3,1,1","0.8992,77.646484375"
8,"6,1,1","0.8992,77.646484375"
8,"6,1,1","0.8992,77.646484375"
8,"4,1,1","0.8992,77.646484375"
8,"2,1,1","0.8992,77.646484375"
8,"2,1,1","0.8992,77.646484375"
8,"3,1,1","0.8992,77.646484375"
8,"1,1,1","0.8992,77.646484375"
8,"6,1,1","0.8992,77.646484375"
8,"4,1,1","0.8992,77.646484375"
8,"6,1,1","0.8992,77.646484375"
8,"5,1,1","0.8992,77.646484375"
8,"6,1,1","0.8992,77.646484375"
8,"4,1,1","0.8992,77.646484375"
9,"4,1,1","0.8992,77.646484375"
9,"5,6,6","0.03420000000000001,465.87890625"
9,"5,6,6","0.03420000000000001,465.87890625"
9,"3,1,1","0.8992,77.646484375"
9,"6,5,6","0.035599999999999965,389.21875"
9,"5,2,2","0.8926000000000001,155.29296875"
9,"6,3,6","0.05279999999999996,235.8984375"
9,"6,4,6","0.03720000000000001,312.55859375"
9,"8,5,8","0.03520000000000001,391.19140625"
9,"5,4,5","0.03979999999999995,311.572265625"
9,"7,3,3","0.13780000000000003,232.939453125"
9,"5,2,7","0.5936,160.224609375"
9,"8,3,4","0.06979999999999997,233.92578125"
9,"6,2,6","0.6018,159.23828125"
9,"5,2,3","0.6739999999999999,156.279296875"
9,"5,2,3","0.6739999999999999,156.279296875"
9,"5,2,4","0.6402,157.265625"
9,"5,2,4","0.6402,157.265625"
9,"5,2,5","0.6122000000000001,158.251953125"
9,"5,4,5","0.03979999999999995,311.572265625"
9,"5,2,5","0.6122000000000001,158.251953125"
9,"8,3,5","0.059799999999999964,234.912109375"
9,"8,3,5","0.059799999999999964,234.912109375"
9,"5,2,2","0.8926000000000001,155.29296875"
9,"6,4,6","0.03720000000000001,312.55859375"
9,"4,1,1","0.8992,77.646484375"
9,"5,2,4","0.6402,157.265625"
9,"5,2,2","0.8926000000000001,155.29296875"
9,"6,4,6","0.03720000000000001,312.55859375"
9,"6,1,1","0.8992,77.646484375"
9,"2,1,1","0.8992,77.646484375"
